I

740 Version - made by https://simbad.u-strasbg.fr/simbad/sim-fid from Hipparcos data, for J2025 epoch, 2025 equinox, V-band brightness, all stars down to mag 6.5

13.7853  -33.169  4.23 i Cen
16.5504  -34.757  4.23 N Sco
17.7137  -12.887  4.23 omi Ser
20.7783   30.812  4.23 52 Cyg
 2.7552  -13.754  4.24 pi. Cet
 7.9006  -48.169  4.24 J Pup
14.0487    1.425  4.24 tau Vir
14.4584   75.585  4.24 5 UMi
16.7785  -77.565  4.24 bet Aps
19.8588   32.979  4.24 chi Cyg
21.3067   39.500  4.24 sig Cyg
 1.1828   47.374  4.25 phi And
 1.2769  -68.743  4.25 kap Tuc
 2.4650  -47.593  4.25 kap Eri
 3.5816  -21.550  4.25 tau05 Eri
 4.6172   10.210  4.25 88 Tau
 6.0299   45.936  4.25 pi. Aur
 8.4090   43.106  4.25 Alsciaukat 
 8.9975   11.759  4.25 Acubens 
 9.6744   81.213  4.25 81817 
10.4716  -31.196  4.25 alf Ant
12.5821   41.222  4.25 Chara 
13.2173   27.752  4.25 bet Com
20.7970   16.216  4.25 gam02 Del
23.2867   -8.951  4.25 psi01 Aqr
 1.7786    9.283  4.26 Torcular 
 4.6405   41.314  4.26 58 Per
 4.7292   23.003  4.26 tau Tau
 0.9968  -29.223  4.27 alf Scl
 3.3488  -42.975  4.27 e Eri
 3.8254  -37.545  4.27 f Eri
 4.6593   12.559  4.27 c Tau
 5.1724   -8.724  4.27 lam Eri
10.6718  -55.734  4.27 x Vel
12.9138  -40.314  4.27 n Cen
13.1397  -50.039  4.27 ksi02 Cen
15.7203   77.716  4.27 zet UMi
16.1593   44.870  4.27 phi Her
16.5429  -16.665  4.27 phi Oph
